Rooms,Bathrooms,ProprietyType,District,AverageSellPrice,AverageRentPrice
4,4,House, Lisboa,515523.43173431733,3755.813953488372
5,1,House, Lisboa,224782.14285714287,4500.0
5,3,House, Lisboa,435541.4556962025,1426.6666666666667
5,4,House, Lisboa,514944.3502824859,4502.777777777777
6,2,House, Lisboa,265446.4285714286,7150.0
6,4,House, Lisboa,496818.36734693876,6075.0
7,2,House, Lisboa,509090.9090909091,775.0
7,3,House, Lisboa,436923.07692307694,2300.0
7,4,House, Lisboa,389264.6666666667,5833.333333333333
8,4,House, Lisboa,489000.0,4866.666666666667
9,4,House, Lisboa,437333.3333333333,9250.0
10,4,House, Lisboa,395571.4285714286,8500.0
1,1,Apartament, Portalegre,49200.0,283.75
2,1,Apartament, Portalegre,55184.18421052631,170.0
4,3,Apartament, Portalegre,202500.0,700.0
1,1,House, Portalegre,38429.31034482759,450.0
2,1,House, Portalegre,53976.96721311475,550.0
3,1,House, Portalegre,53283.333333333336,395.0
4,3,House, Portalegre,248730.76923076922,685.0
0,1,Apartament, Porto,177657.1549636804,830.6676646706587
0,2,Apartament, Porto,220181.81818181818,700.0
1,1,Apartament, Porto,187163.70169082127,996.1839430894308
1,2,Apartament, Porto,242948.19170984457,818.5483870967741
2,1,Apartament, Porto,171187.08630609896,744.1098591549296
2,2,Apartament, Porto,239659.52361563517,3344.4127358490564
2,3,Apartament, Porto,299868.3879310345,1339.8076923076924
3,1,Apartament, Porto,182104.9504950495,855.9772727272727
3,2,Apartament, Porto,251705.98324022346,1014.4341736694678
3,3,Apartament, Porto,368332.8996539792,3750.8766233766232
3,4,Apartament, Porto,507197.550295858,2678.0
4,1,Apartament, Porto,429833.3333333333,1177.5
4,2,Apartament, Porto,284690.8256880734,1192.2448979591836
4,3,Apartament, Porto,436351.43454039,1599.1489361702127
4,4,Apartament, Porto,498811.68341708544,2384.722222222222
5,2,Apartament, Porto,309300.0,1344.4444444444443
5,3,Apartament, Porto,389172.0,1561.5384615384614
5,4,Apartament, Porto,576625.0,2373.6
