Location;CrimeRate;CrimesAgainstPhysicalIntegrity;TheftOrRobbery;Carjacking;DrunkDriving;DrivingWithoutLicense;CrimesAgainstNationalHeritage
1701510: Seixal;23.3;4.1;1.1;2.5;.5;1.2;12.7
1701511: Sesimbra;38.5;5.3;.6;3.2;3.6;2.8;17.7
1701512: Setúbal;34.4;6.5;.9;3.8;.5;1.6;17.4
1701111: Sintra;26.2;4.5;1.1;2.7;.7;1.3;14.8
1701114: Vila Franca de Xira;22.3;4.1;.6;1.8;1.2;1.1;11.2
1811501: Alcácer do Sal;38.3;6.4;? ?;4.2;2.2;1.2;17.9
1811505: Grândola;54.4;8.3;? ?;2.1;5.1;2.7;21.4
1810211: Odemira;28.6;4.3;.4;2.2;1.8;1.4;12.5
1811509: Santiago do Cacém;22.5;4.7;.2;1;1.6;1;9.1
1811513: Sines;41.5;6.8;0;2.3;4.7;1.6;17.4
1840201: Aljustrel;24.1;5.8;? ?;1;1.7;.7;8.6
1840202: Almodôvar;28.4;6;0;.9;.5;.6;8.1
1840203: Alvito;36.1;5.3;? ?;1.2;? ?;0;15
1840204: Barrancos;46.2;7.4;0;? ?;? ?;1.8;20.3
1840205: Beja;27.8;4.9;.2;1.9;1.8;1;12
1840206: Castro Verde;20.3;3.8;? ?;.6;3;.6;7.5
1840207: Cuba;20.9;3.7;0;.9;1.8;1.5;7.3
1840208: Ferreira do Alentejo;32.5;5.4;0;1.9;1.4;.6;15.4
1840209: Mértola;28.4;2.6;0;.7;1.8;1;14.2
1840210: Moura;23.2;3.9;? ?;.7;.8;.7;10.4
1840212: Ourique;27.1;4.4;0;? ?;2.2;1.3;8.6
1840213: Serpa;18.6;3.5;0;.6;1.2;.6;8.7
1840214: Vidigueira;30.5;7.3;? ?;1.1;1.1;.5;11.1
1851403: Almeirim;31.7;3.7;.3;4.1;1.2;1.1;17.9
1851404: Alpiarça;26.8;4.9;? ?;1.4;? ?;1.9;11.7
1851103: Azambuja;36.5;4.8;.6;2.3;2.3;2.5;17.6
1851405: Benavente;30.9;5.1;.3;1.9;1.4;1.9;15.2
1851406: Cartaxo;22.1;3.8;.4;1.4;.7;1.2;11.9
1851407: Chamusca;22.8;3.5;? ?;1;1.2;.4;12.2
1851409: Coruche;32.4;5.2;.3;1.3;1.8;1.5;14.4
1851412: Golegã;23.8;3.4;0;1.3;? ?;.8;14.7
1851414: Rio Maior;25.5;4.5;? ?;1.6;1.4;1.4;12.4
1851415: Salvaterra de Magos;29.8;4.9;.3;.8;2.2;1.8;11.8
1851416: Santarém;28.2;5;.3;2.1;1.1;1.1;14.6
1861201: Alter do Chão;23.6;4.5;0;1;1.3;? ?;11.5
1861202: Arronches;12.3;1.4;? ?;0;1.4;0;7.6
1861203: Avis;43.6;6.9;? ?;1.2;4.1;2.1;17.9
1861204: Campo Maior;50.8;9.2;? ?;2.6;3.9;3.3;26.1
1861205: Castelo de Vide;26;8;0;? ?;? ?;0;8.3
1861206: Crato;22.6;4.9;0;? ?;1;1;10.1
1861207: Elvas;42.7;6.6;.7;2.2;3.6;3.1;18.2
1861208: Fronteira;17.7;3.8;0;0;? ?;? ?;8.5
1861209: Gavião;24.8;3.1;0;.9;.9;1.3;13.2
1861210: Marvão;25.5;4.4;0;? ?;5.4;? ?;4.4
1861211: Monforte;46.5;5.1;0;? ?;2;4.1;27.1
1861212: Nisa;21.6;4.9;? ?;? ?;1.2;? ?;7.7
1861213: Ponte de Sor;32.9;6.1;0;1.9;4.2;1.3;14.1
1861214: Portalegre;23;5.3;? ?;.6;1.5;.8;9.6
1861215: Sousel;23.6;6.2;0;? ?;? ?;? ?;9.5
1870701: Alandroal;17.4;3.1;? ?;? ?;.8;? ?;9.8
1870702: Arraiolos;20.5;2;? ?;1.5;1.3;.7;11.2
1870703: Borba;26.1;4.2;? ?;2.1;? ?;? ?;15.9
1870704: Estremoz;24.8;3.9;.4;1;1;1.2;12.7
1870705: Évora;20.6;4.5;.5;2.1;.8;1.1;9.8
1870706: Montemor-o-Novo;23.2;4;.3;1.5;1.1;.5;11.6
1870707: Mora;28;6.2;? ?;1.2;1.2;0;12.9
1870708: Mourão;36.2;4.9;? ?;2.5;1.6;? ?;18.9
1870709: Portel;24.4;4.8;? ?;1;1.7;? ?;11.9
1870710: Redondo;22.3;4;.5;.8;1.1;.5;11.3
1870711: Reguengos de Monsaraz;22.8;4.3;0;.6;.8;.4;11.2
1870712: Vendas Novas;28.1;6.1;0;1.6;2.4;.4;11.9
1870713: Viana do Alentejo;22.7;3.7;? ?;? ?;1.2;1.2;11
1870714: Vila Viçosa;10.8;1.6;0;? ?;? ?;? ?;6.3
1500801: Albufeira;61.3;8.1;1.2;4.8;3.6;3.1;32
1500802: Alcoutim;32.3;4.8;? ?;1.4;2.9;? ?;15.9
1500803: Aljezur;56.6;8.8;? ?;6.1;4.3;2.1;24.8
1500804: Castro Marim;33.9;5.3;.5;2.6;1.5;.8;18.7
1500805: Faro;46.9;7.7;1.6;5.2;1.3;2;27
1500806: Lagoa;48.4;7.5;.1;6.1;1.6;1.2;29.9
1500807: Lagos;40.9;6.9;.4;3.9;2.1;1.9;21.8
1500808: Loulé;51.3;8.6;1.1;4;2.3;1.2;29.5
1500809: Monchique;28.5;3.8;? ?;1;1.2;? ?;15.1
