Location;HM;H;M
0302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);2099;981;1118
0302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;1271;615;656
0302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;3748;1783;1965
0302FH: União das freguesias de Vila Cova e Feitos;2446;1162;1284
030283: Várzea;1935;942;993
030287: Vila Seca;1062;489;573
0303: Braga;193333;92042;101291
030301: Adaúfe;3584;1744;1840
030349: Braga (São Vicente);13962;6531;7431
030351: Braga (São Vítor);32822;15351;17471
030312: Espinho;1055;518;537
030313: Esporões;1709;824;885
030315: Figueiredo;1149;563;586
030319: Gualtar;6749;3245;3504
030322: Lamas;851;433;418
030325: Mire de Tibães;2342;1154;1188
030330: Padim da Graça;1418;682;736
030331: Palmeira;5698;2807;2891
030334: Pedralva;1060;503;557
030336: Priscos;1256;603;653
030338: Ruilhe;1110;522;588
030354: Sequeira;1741;845;896
030355: Sobreposta;1269;623;646
030356: Tadim;1267;618;649
030357: Tebosa;1082;533;549
030363: União das freguesias de Arentim e Cunha;1409;685;724
030364: União das freguesias de Braga (Maximinos, Sé e Cividade);15086;7045;8041
030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);14788;6699;8089
030366: União das freguesias de Cabreiros e Passos (São Julião);2082;1004;1078
030367: União das freguesias de Celeirós, Aveleda e Vimieiro;6741;3326;3415
030368: União das freguesias de Crespos e Pousada;1235;607;628
030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);1821;913;908
030370: União das freguesias de Este (São Pedro e São Mamede);4069;1983;2086
030371: União das freguesias de Ferreiros e Gondizalves;10003;4783;5220
030372: União das freguesias de Guisande e Oliveira (São Pedro);1075;519;556
030373: União das freguesias de Lomar e Arcos;7274;3546;3728
030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;5260;2587;2673
030375: União das freguesias de Merelim (São Pedro) e Frossos;3851;1887;1964
030376: União das freguesias de Morreira e Trandeiras;1364;667;697
030377: União das freguesias de Nogueira, Fraião e Lamaçães;15036;7262;7774
030378: União das freguesias de Nogueiró e Tenões;5957;2636;3321
030379: União das freguesias de Real, Dume e Semelhe;13694;6579;7115
030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;910;447;463
030381: União das freguesias de Vilaça e Fradelos;1554;768;786
0306: Esposende;35145;16786;18359
030601: Antas;2176;1013;1163
030608: Forjães;2647;1266;1381
030610: Gemeses;1111;533;578
030616: União das freguesias de Apúlia e Fão;7854;3736;4118
030617: União das freguesias de Belinho e Mar;2894;1402;1492
030618: União das freguesias de Esposende, Marinhas e Gandra;12274;5885;6389
030619: União das freguesias de Fonte Boa e Rio Tinto;1837;897;940
030620: União das freguesias de Palmeira de Faro e Curvos;3095;1460;1635
030615: Vila Chã;1257;594;663
0310: Terras de Bouro;6359;3079;3280
031001: Balança;309;151;158
031003: Campo do Gerês;148;80;68
031004: Carvalheira;292;139;153
031008: Covide;273;130;143
031009: Gondoriz;295;145;150
031010: Moimenta;783;355;428
031012: Ribeira;212;98;114
031013: Rio Caldo;770;381;389
031014: Souto;461;232;229
031018: União das freguesias de Chamoim e Vilar;349;170;179
031019: União das freguesias de Chorense e Monte;537;253;284
031020: União das freguesias de Cibões e Brufe;304;148;156
031015: Valdosende;552;275;277
031017: Vilar da Veiga;1074;522;552
0313: Vila Verde;46474;22225;24249
031359: Aboim da Nóbrega e Gondomar;901;416;485
031304: Atiães;547;244;303
031308: Cabanelas;1975;953;1022
031309: Cervães;1856;913;943
031311: Coucieiro;526;254;272
031313: Dossãos;424;193;231
031316: Freiriz;1059;493;566
031317: Gême;521;243;278
031323: Lage;3052;1462;1590
031324: Lanhas;653;316;337
031325: Loureira;1106;528;578
031328: Moure;1378;672;706
031330: Oleiros;1189;563;626
031331: Parada de Gatim;707;351;356
031335: Pico;519;253;266
031337: Ponte;452;223;229
031350: Prado (São Miguel);653;327;326
031340: Sabariz;448;218;230
031352: Soutelo;2128;1013;1115
031354: Turiz;1872;918;954
031360: União das freguesias da Ribeira do Neiva;3360;1581;1779
031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);831;382;449
031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);744;364;380
031363: União das freguesias de Esqueiros, Nevogilde e Travassós;923;445;478
031364: União das freguesias de Marrancos e Arcozelo;822;394;428
031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);509;256;253
031366: União das freguesias de Pico de Regalados, Gondiães e Mós;1550;736;814
031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;1411;704;707
031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);595;281;314
031369: União das freguesias do Vade;1453;689;764
031355: Valdreu;435;207;228
031342: Vila de Prado;4481;2131;2350
031370: Vila Verde e Barbudo;7394;3502;3892
119: Ave;418586;201632;216954
0304: Cabeceiras de Basto;15566;7546;8020
030401: Abadim;472;239;233
030404: Basto;895;440;455
030405: Bucos;469;228;241
030406: Cabeceiras de Basto;617;299;318
030407: Cavez;1132;545;587
030408: Faia;554;278;276
030413: Pedraça;694;343;351
030415: Rio Douro;814;393;421
030418: União das freguesias de Alvite e Passos;1037;489;548
030419: União das freguesias de Arco de Baúlhe e Vila Nune;1950;936;1014
030420: União das freguesias de Gondiães e Vilar de Cunhas;346;167;179
030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;6586;3189;3397
0307: Fafe;48502;23041;25461
030705: Armil;687;327;360
030726: Arões (Santa Cristina);1552;762;790
030730: Arões (São Romão);3291;1618;1673
030708: Estorãos;1540;741;799
030709: Fafe;15460;7235;8225
030712: Fornelos;1352;647;705
030714: Golães;2021;984;1037
030716: Medelo;1544;740;804
030719: Paços;1014;499;515
030722: Quinchães;2171;1063;1108
030723: Regadas;1540;741;799
030724: Revelhe;789;378;411
030725: Ribeiros;546;258;288
030728: São Gens;1642;777;865
030729: Silvares (São Martinho);1256;574;682
030733: Travassós;1444;684;760
030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;771;355;416
030738: União de freguesias de Agrela e Serafão;1206;568;638
030739: União de freguesias de Antime e Silvares (São Clemente);1943;903;1040
030740: União de freguesias de Ardegão, Arnozela e Seidões;949;434;515
030741: União de freguesias de Cepães e Fareja;2154;1059;1095
030742: União de freguesias de Freitas e Vila Cova;747;350;397
030743: União de freguesias de Monte e Queimadela;658;285;373
030744: União de freguesias de Moreira do Rei e Várzea Cova;1656;792;864
030736: Vinhós;569;267;302
0308: Guimarães;156852;75740;81112
030801: Aldão;1277;626;651
030804: Azurém;9076;4297;4779
030806: Barco;1438;719;719
030807: Brito;4773;2323;2450
030808: Caldelas;6308;3006;3302
030857: Candoso (São Martinho);1235;595;640
030812: Costa;5401;2553;2848
030813: Creixomil;9703;4533;5170
030815: Fermentões;5731;2716;3015
030820: Gonça;955;472;483
030821: Gondar;2580;1234;1346
030823: Guardizela;2445;1189;1256
030824: Infantas;1741;871;870
030827: Longos;1334;638;696
030828: Lordelo;3977;1944;2033
030830: Mesão Frio;4164;2019;2145
030831: Moreira de Cónegos;4651;2248;2403
030832: Nespereira;2594;1288;1306
030835: Pencelo;1221;604;617
030836: Pinheiro;1138;549;589
030837: Polvoreira;3544;1709;1835
030838: Ponte;6686;3257;3429
030842: Prazins (Santa Eufémia);1267;616;651
030840: Ronfe;4493;2193;2300
030858: Sande (São Martinho);2239;1068;1171
030865: São Torcato;3348;1635;1713
030850: Selho (São Cristóvão);2138;1050;1088
030854: Selho (São Jorge);5927;2900;3027
030866: Serzedelo;3422;1659;1763
030868: Silvares;2253;1106;1147
